device_id,timestamp_utc,timestamp_uganda,battery_voltage,field2,humidity_percent,motion_counts,temperature_celsius,motion_status,work_mode,frame_counter,rssi,raw_payload,source_file,file_last_modified
lht65n-01-temp-humidity-sensor,2025-09-20T18:43:07.303643367Z,2025-09-20T18:43:07.303643367Z,3.084,3,67.1,12625,25.71,Activity,PIR Sensor,1458,-51,zAwKCwKfDgEAMVE=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:45:49.038228011Z,2025-09-20T18:45:49.038228011Z,3.085,3,67.3,12629,25.69,Activity,PIR Sensor,1459,-67,zA0KCQKhDgEAMVU=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:48:03.435177960Z,2025-09-20T18:48:03.435177960Z,3.083,3,67.3,12640,25.68,Activity,PIR Sensor,1460,-66,zAsKCAKhDgEAMWA=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:50:21.037831915Z,2025-09-20T18:50:21.037831915Z,3.084,3,65.7,12658,25.69,Activity,PIR Sensor,1461,-68,zAwKCQKRDgEAMXI=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:52:34.493580922Z,2025-09-20T18:52:34.493580922Z,3.084,3,65.8,12667,25.69,No activity,PIR Sensor,1462,-65,zAwKCQKSDgAAMXs=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:55:46.591730427Z,2025-09-20T18:55:46.591730427Z,3.084,3,65.8,12668,25.71,Activity,PIR Sensor,1463,-65,zAwKCwKSDgEAMXw=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:12:24.118317846Z,2025-09-20T19:12:24.118317846Z,3.085,3,65.4,12671,25.68,Activity,PIR Sensor,1464,-64,zA0KCAKODgEAMX8=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:14:30.681430026Z,2025-09-20T19:14:30.681430026Z,3.083,3,65.4,12676,25.71,Activity,PIR Sensor,1465,-49,zAsKCwKODgEAMYQ=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:22:34.010546814Z,2025-09-20T19:22:34.010546814Z,3.084,3,65.0,12678,25.69,No activity,PIR Sensor,1466,-49,zAwKCQKKDgAAMYY=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:52:33.444920054Z,2025-09-20T19:52:33.444920054Z,3.083,3,64.6,12684,25.68,No activity,PIR Sensor,1468,-66,zAsKCAKGDgAAMYw=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T20:22:32.924330509Z,2025-09-20T20:22:32.924330509Z,3.083,3,64.5,12684,25.54,No activity,PIR Sensor,1469,-65,zAsJ+gKFDgAAMYw=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T20:25:15.425440621Z,2025-09-20T20:25:15.425440621Z,3.085,3,64.4,12685,25.57,Activity,PIR Sensor,1470,-66,zA0J/QKEDgEAMY0=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T20:27:48.637653055Z,2025-09-20T20:27:48.637653055Z,3.083,3,64.4,12688,25.57,Activity,PIR Sensor,1471,-50,zAsJ/QKEDgEAMZA=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:17:32.778904719Z,2025-09-21T09:17:32.778904719Z,3.084,3,63.2,13094,26.96,Activity,PIR Sensor,1564,-49,zAwKiAJ4DgEAMyY=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:20:44.349001971Z,2025-09-21T09:20:44.349001971Z,3.084,3,60.2,13095,26.98,Activity,PIR Sensor,1565,-64,zAwKigJaDgEAMyc=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:22:19.312800271Z,2025-09-21T09:22:19.312800271Z,3.084,3,61.2,13098,27.02,No activity,PIR Sensor,1566,-64,zAwKjgJkDgAAMyo=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:24:46.691608392Z,2025-09-21T09:24:46.691608392Z,3.085,3,59.8,13099,27.02,Activity,PIR Sensor,1567,-64,zA0KjgJWDgEAMys=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:26:51.078065214Z,2025-09-21T09:26:51.078065214Z,3.083,3,60.8,13106,27.05,Activity,PIR Sensor,1568,-64,zAsKkQJgDgEAMzI=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:40:28.717967215Z,2025-09-21T09:40:28.717967215Z,3.084,3,59.7,13110,27.09,Activity,PIR Sensor,1569,-49,zAwKlQJVDgEAMzY=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T09:58:00.938567265Z,2025-09-21T09:58:00.938567265Z,3.085,3,57.6,13114,27.39,Activity,PIR Sensor,1571,-65,zA0KswJADgEAMzo=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T10:22:18.276399601Z,2025-09-21T10:22:18.276399601Z,3.084,3,57.5,13116,27.3,No activity,PIR Sensor,1572,-49,zAwKqgI/DgAAMzw=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T10:22:57.924948760Z,2025-09-21T10:22:57.924948760Z,3.084,3,57.5,13117,27.29,Activity,PIR Sensor,1573,-64,zAwKqQI/DgEAMz0=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T10:37:02.719790114Z,2025-09-21T10:37:02.719790114Z,3.084,3,55.1,13131,27.22,Activity,PIR Sensor,1575,-64,zAwKogInDgEAM0s=,processed_2025-09-21_10-49-17.json,2025-09-21T10:49:18+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T23:22:29.799648347Z,2025-09-20T23:22:29.799648347Z,3.084,3,64.3,12806,25.21,No activity,PIR Sensor,1494,-66,zAwJ2QKDDgAAMgY=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T23:24:27.574014597Z,2025-09-20T23:24:27.574014597Z,3.084,3,64.5,12807,25.2,Activity,PIR Sensor,1495,-52,zAwJ2AKFDgEAMgc=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T23:52:29.285517136Z,2025-09-20T23:52:29.285517136Z,3.085,3,64.3,12807,25.17,No activity,PIR Sensor,1496,-66,zA0J1QKDDgAAMgc=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T00:22:28.758626422Z,2025-09-21T00:22:28.758626422Z,3.083,3,64.7,12807,25.09,No activity,PIR Sensor,1497,-51,zAsJzQKHDgAAMgc=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T00:52:28.236025879Z,2025-09-21T00:52:28.236025879Z,3.083,3,65.2,12807,25.05,No activity,PIR Sensor,1498,-52,zAsJyQKMDgAAMgc=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T01:08:51.360794107Z,2025-09-21T01:08:51.360794107Z,3.085,3,65.1,12808,24.93,Activity,PIR Sensor,1499,-66,zA0JvQKLDgEAMgg=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T01:22:27.711936707Z,2025-09-21T01:22:27.711936707Z,3.084,3,65.4,12809,24.87,No activity,PIR Sensor,1500,-52,zAwJtwKODgAAMgk=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T01:52:27.186470993Z,2025-09-21T01:52:27.186470993Z,3.086,3,66.0,12809,24.75,No activity,PIR Sensor,1501,-65,zA4JqwKUDgAAMgk=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T01:55:12.513937798Z,2025-09-21T01:55:12.513937798Z,3.083,3,66.0,12810,24.75,Activity,PIR Sensor,1502,-66,zAsJqwKUDgEAMgo=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T02:22:26.655395120Z,2025-09-21T02:22:26.655395120Z,3.084,3,66.9,12819,24.76,No activity,PIR Sensor,1503,-66,zAwJrAKdDgAAMhM=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T02:40:05.650374584Z,2025-09-21T02:40:05.650374584Z,3.085,3,67.2,12820,24.78,Activity,PIR Sensor,1504,-65,zA0JrgKgDgEAMhQ=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T02:47:59.851656492Z,2025-09-21T02:47:59.851656492Z,3.085,3,66.9,12821,24.78,Activity,PIR Sensor,1505,-51,zA0JrgKdDgEAMhU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T02:52:26.150440954Z,2025-09-21T02:52:26.150440954Z,3.085,3,67.0,12821,24.76,No activity,PIR Sensor,1506,-51,zA0JrAKeDgAAMhU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T03:22:25.603133244Z,2025-09-21T03:22:25.603133244Z,3.084,3,66.2,12821,24.72,No activity,PIR Sensor,1507,-65,zAwJqAKWDgAAMhU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T03:52:25.054072473Z,2025-09-21T03:52:25.054072473Z,3.084,3,66.2,12821,24.66,No activity,PIR Sensor,1508,-51,zAwJogKWDgAAMhU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:09:08.589060828Z,2025-09-21T04:09:08.589060828Z,3.086,3,66.6,12822,24.65,Activity,PIR Sensor,1509,-66,zA4JoQKaDgEAMhY=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:13:38.392078243Z,2025-09-21T04:13:38.392078243Z,3.086,3,66.8,12836,24.69,Activity,PIR Sensor,1510,-65,zA4JpQKcDgEAMiQ=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:17:33.918300184Z,2025-09-21T04:17:33.918300184Z,3.085,3,66.6,12840,24.71,Activity,PIR Sensor,1511,-65,zA0JpwKaDgEAMig=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:20:01.544636395Z,2025-09-21T04:20:01.544636395Z,3.083,3,66.8,12853,24.74,Activity,PIR Sensor,1512,-65,zAsJqgKcDgEAMjU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:22:24.533697352Z,2025-09-21T04:22:24.533697352Z,3.084,3,66.8,12859,24.74,No activity,PIR Sensor,1513,-50,zAwJqgKcDgAAMjs=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:23:41.422757145Z,2025-09-21T04:23:41.422757145Z,3.085,3,66.8,12860,24.75,Activity,PIR Sensor,1514,-47,zA0JqwKcDgEAMjw=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:26:05.391642347Z,2025-09-21T04:26:05.391642347Z,3.083,3,66.8,12863,24.75,Activity,PIR Sensor,1515,-64,zAsJqwKcDgEAMj8=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:28:10.241803872Z,2025-09-21T04:28:10.241803872Z,3.085,3,66.8,12869,24.78,Activity,PIR Sensor,1516,-65,zA0JrgKcDgEAMkU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:30:20.971656612Z,2025-09-21T04:30:20.971656612Z,3.086,3,67.0,12875,24.78,Activity,PIR Sensor,1517,-65,zA4JrgKeDgEAMks=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:32:38.750664245Z,2025-09-21T04:32:38.750664245Z,3.084,3,67.1,12885,24.83,Activity,PIR Sensor,1518,-66,zAwJswKfDgEAMlU=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:34:40.225437425Z,2025-09-21T04:34:40.225437425Z,3.085,3,67.0,12894,24.85,Activity,PIR Sensor,1519,-66,zA0JtQKeDgEAMl4=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:39:50.245387632Z,2025-09-21T04:39:50.245387632Z,3.084,3,67.0,12902,24.87,Activity,PIR Sensor,1520,-68,zAwJtwKeDgEAMmY=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:46:53.479491611Z,2025-09-21T04:46:53.479491611Z,3.085,3,66.7,12915,24.95,Activity,PIR Sensor,1521,-52,zA0JvwKbDgEAMnM=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T04:52:23.994194810Z,2025-09-21T04:52:23.994194810Z,3.083,3,66.5,12925,24.95,No activity,PIR Sensor,1522,-53,zAsJvwKZDgAAMn0=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T05:13:46.152286026Z,2025-09-21T05:13:46.152286026Z,3.084,3,67.1,12929,25.13,Activity,PIR Sensor,1524,-52,zAwJ0QKfDgEAMoE=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T05:40:29.781285714Z,2025-09-21T05:40:29.781285714Z,3.085,3,66.7,12932,25.37,Activity,PIR Sensor,1526,-68,zA0J6QKbDgEAMoQ=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T05:47:46.886318486Z,2025-09-21T05:47:46.886318486Z,3.084,3,66.7,12936,25.42,Activity,PIR Sensor,1527,-68,zAwJ7gKbDgEAMog=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T05:52:23.008707091Z,2025-09-21T05:52:23.008707091Z,3.085,3,66.8,12936,25.5,No activity,PIR Sensor,1528,-67,zA0J9gKcDgAAMog=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T05:52:59.155494609Z,2025-09-21T05:52:59.155494609Z,3.084,3,66.7,12937,25.47,Activity,PIR Sensor,1529,-53,zAwJ8wKbDgEAMok=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T05:56:28.271527480Z,2025-09-21T05:56:28.271527480Z,3.084,3,66.6,12940,25.52,Activity,PIR Sensor,1530,-52,zAwJ+AKaDgEAMow=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:00:32.005272289Z,2025-09-21T06:00:32.005272289Z,3.084,3,66.7,12945,25.54,Activity,PIR Sensor,1531,-69,zAwJ+gKbDgEAMpE=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:02:45.246827853Z,2025-09-21T06:02:45.246827853Z,3.085,3,66.8,12953,25.57,Activity,PIR Sensor,1532,-53,zA0J/QKcDgEAMpk=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:04:55.468337940Z,2025-09-21T06:04:55.468337940Z,3.084,3,66.7,12956,25.57,Activity,PIR Sensor,1533,-68,zAwJ/QKbDgEAMpw=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:06:56.378470655Z,2025-09-21T06:06:56.378470655Z,3.084,3,66.5,12958,25.6,Activity,PIR Sensor,1534,-67,zAwKAAKZDgEAMp4=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:08:57.420158351Z,2025-09-21T06:08:57.420158351Z,3.083,3,66.6,12968,25.61,Activity,PIR Sensor,1535,-51,zAsKAQKaDgEAMqg=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:13:36.131775933Z,2025-09-21T06:13:36.131775933Z,3.083,3,66.0,12980,25.65,Activity,PIR Sensor,1536,-69,zAsKBQKUDgEAMrQ=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:15:51.123607375Z,2025-09-21T06:15:51.123607375Z,3.083,3,66.7,13001,25.68,Activity,PIR Sensor,1537,-53,zAsKCAKbDgEAMsk=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:22:22.430702526Z,2025-09-21T06:22:22.430702526Z,3.085,3,67.1,13001,25.72,No activity,PIR Sensor,1538,-48,zA0KDAKfDgAAMsk=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:22:29.459352619Z,2025-09-21T06:22:29.459352619Z,3.084,3,67.0,13003,25.68,Activity,PIR Sensor,1539,-64,zAwKCAKeDgEAMss=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:28:51.071245933Z,2025-09-21T06:28:51.071245933Z,3.084,3,67.2,13006,25.65,Activity,PIR Sensor,1540,-66,zAwKBQKgDgEAMs4=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:32:18.680198622Z,2025-09-21T06:32:18.680198622Z,3.084,3,67.4,13016,25.71,Activity,PIR Sensor,1541,-64,zAwKCwKiDgEAMtg=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:35:06.122229192Z,2025-09-21T06:35:06.122229192Z,3.084,3,67.2,13017,25.72,Activity,PIR Sensor,1542,-64,zAwKDAKgDgEAMtk=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T06:52:21.940544414Z,2025-09-21T06:52:21.940544414Z,3.084,3,67.6,13019,25.96,No activity,PIR Sensor,1543,-64,zAwKJAKkDgAAMts=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:22:21.410945667Z,2025-09-21T07:22:21.410945667Z,3.083,3,67.9,13019,26.3,No activity,PIR Sensor,1544,-64,zAsKRgKnDgAAMts=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:45:32.575639017Z,2025-09-21T07:45:32.575639017Z,3.084,3,67.9,13020,26.46,Activity,PIR Sensor,1545,-49,zAwKVgKnDgEAMtw=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:49:48.939840719Z,2025-09-21T07:49:48.939840719Z,3.084,3,67.7,13021,26.44,Activity,PIR Sensor,1546,-49,zAwKVAKlDgEAMt0=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:53:02.490121349Z,2025-09-21T07:53:02.490121349Z,3.084,3,67.9,13032,26.44,Activity,PIR Sensor,1548,-49,zAwKVAKnDgEAMug=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:55:03.396691966Z,2025-09-21T07:55:03.396691966Z,3.083,3,68.1,13047,26.44,Activity,PIR Sensor,1549,-63,zAsKVAKpDgEAMvc=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:57:07.322256277Z,2025-09-21T07:57:07.322256277Z,3.084,3,67.9,13052,26.47,Activity,PIR Sensor,1550,-66,zAwKVwKnDgEAMvw=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T07:59:27.488309907Z,2025-09-21T07:59:27.488309907Z,3.084,3,67.5,13057,26.5,Activity,PIR Sensor,1551,-64,zAwKWgKjDgEAMwE=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
lht65n-01-temp-humidity-sensor,2025-09-21T08:10:13.561555789Z,2025-09-21T08:10:13.561555789Z,3.083,3,66.6,13062,26.49,Activity,PIR Sensor,1552,-64,zAsKWQKaDgEAMwY=,processed_2025-09-21_10-57-19.json,2025-09-21T10:57:21+00:00
